date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1981-01-01,1,2228,NG023,952.0,2.2016807,1.4741946,,,,,111.2367,,,final
1981-01-11,1,2228,NG023,952.0,1.2857143,1.4584733,,,,,97.32508,,,final
1981-01-21,1,2228,NG023,952.0,2.1302521,2.1438024,5.617647,5.0764704,,,99.81032,105.3707,,final
1981-02-01,1,2228,NG023,952.0,0.91071427,2.3435574,4.3266807,5.945833,,,80.488434,85.207596,,final
1981-02-11,1,2228,NG023,952.0,1.8119748,3.6236343,4.8529415,8.110994,,,78.99192,75.15022,,final
1981-02-21,1,2228,NG023,952.0,3.605042,4.2405114,6.327731,10.207703,,,93.12301,74.4868,,final
1981-03-01,1,2228,NG023,952.0,7.0514708,10.483893,12.468488,18.34804,,,77.832306,74.81779,,final
1981-03-11,1,2228,NG023,952.0,12.856092,14.819853,23.512606,29.544258,,,90.09196,82.53935,,final
1981-03-21,1,2228,NG023,952.0,12.97374,13.104482,32.8813,38.40823,44.826683,53.6924,99.277855,87.26756,84.8946,final
1981-04-01,1,2228,NG023,952.0,9.594538,31.563866,35.42437,59.4882,52.219536,83.782074,39.91519,62.684906,64.449425,final
1981-04-11,1,2228,NG023,952.0,16.134455,34.57822,38.702732,79.24657,67.068275,116.90182,53.399204,51.874794,59.119934,final
1981-04-21,1,2228,NG023,952.0,33.036766,35.06236,58.76576,101.204445,97.97479,149.82037,94.9439,60.040577,66.51243,final
1981-05-01,1,2228,NG023,952.0,71.71534,59.0472,120.88656,128.68777,168.77942,206.52402,119.77938,94.1646,82.15588,final
1981-05-11,1,2228,NG023,952.0,31.352942,52.34923,136.10504,146.45879,198.32037,255.24962,63.388718,93.16399,78.12513,final
1981-05-21,1,2228,NG023,952.0,62.683823,59.221954,165.7521,170.61838,257.39917,310.23105,105.39048,97.229065,83.24027,final
1981-06-01,1,2228,NG023,952.0,43.419117,67.94923,137.45589,179.52042,293.7668,367.69638,66.373726,77.20332,80.16359,final
1981-06-11,1,2228,NG023,952.0,66.02521,56.49009,172.12814,183.66127,346.9359,409.36664,115.50676,93.886856,84.93346,final
1981-06-21,1,2228,NG023,952.0,97.036766,62.237534,206.48108,186.67686,430.99896,458.4997,151.75566,110.332085,94.06672,final
1981-07-01,1,2228,NG023,952.0,65.132355,65.15301,228.19434,183.88063,486.53677,492.08884,99.97056,123.46122,98.88309,final
1981-07-11,1,2228,NG023,952.0,67.05567,67.22136,229.2248,194.61191,537.458,524.732,99.770584,117.34009,102.40235,final
1981-07-21,1,2228,NG023,952.0,75.31408,73.7999,207.5021,206.17427,579.7353,563.4695,101.921555,100.628784,102.861336,final
1981-08-01,1,2228,NG023,952.0,53.30357,65.67948,195.67332,206.70074,561.32355,570.1018,82.49009,94.79104,98.47362,final
1981-08-11,1,2228,NG023,952.0,88.02416,74.19377,216.64182,213.67314,617.99475,591.94635,117.464,101.35758,104.36361,final
